roomId,userId
bd839349-a6f5-4b90-9790-76f90c264c26,1000000001
bd839349-a6f5-4b90-9790-76f90c264c26,1000000002
bd839349-a6f5-4b90-9790-76f90c264c26,1000000003
bd839349-a6f5-4b90-9790-76f90c264c26,1000000004
8d8734ba-7196-4074-bd1f-f0deef11dc38,1000000005
8d8734ba-7196-4074-bd1f-f0deef11dc38,1000000006
8d8734ba-7196-4074-bd1f-f0deef11dc38,1000000007
8d8734ba-7196-4074-bd1f-f0deef11dc38,1000000008
8d8734ba-7196-4074-bd1f-f0deef11dc38,1000000009
8d8734ba-7196-4074-bd1f-f0deef11dc38,1000000010
a0b8ec1f-f079-4e73-89c9-aa64930fe0ab,1000000001
a0b8ec1f-f079-4e73-89c9-aa64930fe0ab,1000000002
a0b8ec1f-f079-4e73-89c9-aa64930fe0ab,1000000005
a0b8ec1f-f079-4e73-89c9-aa64930fe0ab,1000000006
fc344fb1-1bea-40f4-88fd-968d2bec971d,1000000001
fc344fb1-1bea-40f4-88fd-968d2bec971d,1000000002
fc344fb1-1bea-40f4-88fd-968d2bec971d,1000000003
fc344fb1-1bea-40f4-88fd-968d2bec971d,1000000004
fc344fb1-1bea-40f4-88fd-968d2bec971d,1000000005
fc344fb1-1bea-40f4-88fd-968d2bec971d,1000000006
fc344fb1-1bea-40f4-88fd-968d2bec971d,1000000007
fc344fb1-1bea-40f4-88fd-968d2bec971d,1000000008
fc344fb1-1bea-40f4-88fd-968d2bec971d,1000000009
fc344fb1-1bea-40f4-88fd-968d2bec971d,1000000010
c0cb235f-dc6b-4590-a739-23ec4ff3324f,1000000003
c0cb235f-dc6b-4590-a739-23ec4ff3324f,1000000004
c0cb235f-dc6b-4590-a739-23ec4ff3324f,1000000007
c0cb235f-dc6b-4590-a739-23ec4ff3324f,1000000008
